"country","continent","year","lifeExp","pop","gdpPercap","pop_millions","GDP"
"Algeria","Africa",1952,43.077,9279525,2449.008185,9.279525,22725632677.9121
"Algeria","Africa",1957,45.685,10270856,3013.976023,10.270856,30956113719.6857
"Algeria","Africa",1962,48.303,11000948,2550.81688,11.000948,28061403854.4022
"Algeria","Africa",1967,51.407,12760499,3246.991771,12.760499,41433235246.8537
"Algeria","Africa",1972,54.518,14760787,4182.663766,14.760787,61739408942.5438
"Algeria","Africa",1977,58.014,17152804,4910.416756,17.152804,84227416173.9838
"Algeria","Africa",1982,61.368,20033753,5745.160213,20.033753,115097120652.669
"Algeria","Africa",1987,65.799,23254956,5681.358539,23.254956,132119742844.669
"Algeria","Africa",1992,67.744,26298373,5023.216647,26.298373,132102425042.615
"Algeria","Africa",1997,69.152,29072015,4797.295051,29.072015,139467033682.098
"Algeria","Africa",2002,70.994,31287142,5288.040382,31.287142,165447670333.368
"Algeria","Africa",2007,72.301,33333216,6223.367465,33.333216,207444851958.217
"Angola","Africa",1952,30.015,4232095,3520.610273,4.232095,14899557133.3119
"Angola","Africa",1957,31.999,4561361,3827.940465,4.561361,17460618347.3729
"Angola","Africa",1962,34,4826015,4269.276742,4.826015,20603593596.0431
"Angola","Africa",1967,35.985,5247469,5522.776375,5.247469,28980597821.7449
"Angola","Africa",1972,37.928,5894858,5473.288005,5.894858,32264255582.5783
"Angola","Africa",1977,39.483,6162675,3008.647355,6.162675,18541315838.4746
"Angola","Africa",1982,39.942,7016384,2756.953672,7.016384,19343845632.962
"Angola","Africa",1987,39.906,7874230,2430.208311,7.87423,19136019188.7255
"Angola","Africa",1992,40.647,8735988,2627.845685,8.735988,22956828370.0118
"Angola","Africa",1997,40.963,9875024,2277.140884,9.875024,22486820880.8812
"Angola","Africa",2002,41.003,10866106,2773.287312,10.866106,30134833900.6471
"Angola","Africa",2007,42.731,12420476,4797.231267,12.420476,59583895818.2231
"Benin","Africa",1952,38.223,1738315,1062.7522,1.738315,1847398090.543
"Benin","Africa",1957,40.358,1925173,959.6010805,1.925173,1847398090.94943
"Benin","Africa",1962,42.618,2151895,949.4990641,2.151895,2043222288.54147
"Benin","Africa",1967,44.885,2427334,1035.831411,2.427334,2514308802.18827
"Benin","Africa",1972,47.014,2761407,1085.796879,2.761407,2998327102.24875
"Benin","Africa",1977,49.19,3168267,1029.161251,3.168267,3260657629.22202
"Benin","Africa",1982,50.904,3641603,1277.897616,3.641603,4653595792.11845
"Benin","Africa",1987,52.337,4243788,1225.85601,4.243788,5202273024.96588
"Benin","Africa",1992,53.919,4981671,1191.207681,4.981671,5934204759.41495
"Benin","Africa",1997,54.777,6066080,1232.975292,6.06608,7479326759.29536
"Benin","Africa",2002,54.406,7026113,1372.877931,7.026113,9645995478.4122
"Benin","Africa",2007,56.728,8078314,1441.284873,8.078314,11643151767.5441
"Botswana","Africa",1952,47.622,442308,851.2411407,0.442308,376510766.460736
"Botswana","Africa",1957,49.618,474639,918.2325349,0.474639,435828972.132401
"Botswana","Africa",1962,51.52,512764,983.6539764,0.512764,504382347.55477
"Botswana","Africa",1967,53.298,553541,1214.709294,0.553541,672391397.310054
"Botswana","Africa",1972,56.024,619351,2263.611114,0.619351,1401969807.06701
"Botswana","Africa",1977,59.319,781472,3214.857818,0.781472,2512321368.7481
"Botswana","Africa",1982,61.484,970347,4551.14215,0.970347,4416187131.82605
"Botswana","Africa",1987,63.622,1151184,6205.88385,1.151184,7144114193.9784
"Botswana","Africa",1992,62.745,1342614,7954.111645,1.342614,10679301652.14
"Botswana","Africa",1997,52.556,1536536,8647.142313,1.536536,13286645461.0478
"Botswana","Africa",2002,46.634,1630347,11003.60508,1.630347,17939694531.3628
"Botswana","Africa",2007,50.728,1639131,12569.85177,1.639131,20603633701.6119
"Burkina Faso","Africa",1952,31.975,4469979,543.2552413,4.469979,2428339520.25093
"Burkina Faso","Africa",1957,34.906,4713416,617.1834648,4.713416,2909042417.92376
"Burkina Faso","Africa",1962,37.814,4919632,722.5120206,4.919632,3554493256.92842
"Burkina Faso","Africa",1967,40.697,5127935,794.8265597,5.127935,4075818934.41522
"Burkina Faso","Africa",1972,43.591,5433886,854.7359763,5.433886,4644537855.3129
"Burkina Faso","Africa",1977,46.137,5889574,743.3870368,5.889574,4378232963.87432
"Burkina Faso","Africa",1982,48.122,6634596,807.1985855,6.634596,5355436506.56396
"Burkina Faso","Africa",1987,49.557,7586551,912.0631417,7.586551,6919413539.72728
"Burkina Faso","Africa",1992,50.26,8878303,931.7527731,8.878303,8272383440.67205
"Burkina Faso","Africa",1997,50.324,10352843,946.2949618,10.352843,9796843171.2064
"Burkina Faso","Africa",2002,50.65,12251209,1037.645221,12.251209,12712408470.3222
"Burkina Faso","Africa",2007,52.295,14326203,1217.032994,14.326203,17435461729.7418
"Burundi","Africa",1952,39.031,2445618,339.2964587,2.445618,829789526.732977
"Burundi","Africa",1957,40.533,2667518,379.5646281,2.667518,1012495477.62006
"Burundi","Africa",1962,42.045,2961915,355.2032273,2.961915,1052081766.98828
"Burundi","Africa",1967,43.548,3330989,412.9775136,3.330989,1375623555.04895
"Burundi","Africa",1972,44.057,3529983,464.0995039,3.529983,1638263359.07543
"Burundi","Africa",1977,45.91,3834415,556.1032651,3.834415,2132330701.24842
"Burundi","Africa",1982,47.471,4580410,559.603231,4.58041,2563212235.30471
"Burundi","Africa",1987,48.211,5126023,621.8188189,5.126023,3187457567.51423
"Burundi","Africa",1992,44.736,5809236,631.6998778,5.809236,3669693671.31136
"Burundi","Africa",1997,45.326,6121610,463.1151478,6.12161,2835010319.92396
"Burundi","Africa",2002,47.36,7021078,446.4035126,7.021078,3134233881.43858
"Burundi","Africa",2007,49.58,8390505,430.0706916,8.390505,3608510288.22326
"Cameroon","Africa",1952,38.523,5009067,1172.667655,5.009067,5873970852.62788
"Cameroon","Africa",1957,40.428,5359923,1313.048099,5.359923,7037836705.93638
"Cameroon","Africa",1962,42.643,5793633,1399.607441,5.793633,8108811857.22315
"Cameroon","Africa",1967,44.799,6335506,1508.453148,6.335506,9556813969.87289
"Cameroon","Africa",1972,47.049,7021028,1684.146528,7.021028,11824439929.1908
"Cameroon","Africa",1977,49.355,7959865,1783.432873,7.959865,14195884905.6421
"Cameroon","Africa",1982,52.961,9250831,2367.983282,9.250831,21905813152.6073
"Cameroon","Africa",1987,54.985,10780667,2602.664206,10.780667,28058456117.7054
"Cameroon","Africa",1992,54.314,12467171,1793.163278,12.467171,22355673217.7465
"Cameroon","Africa",1997,52.199,14195809,1694.337469,14.195809,24052491091.4674
"Cameroon","Africa",2002,49.856,15929988,1934.011449,15.929988,30808779174.4326
"Cameroon","Africa",2007,50.43,17696293,2042.09524,17.696293,36137515700.9453
"Central African Republic","Africa",1952,35.463,1291695,1071.310713,1.291695,1383806691.42853
"Central African Republic","Africa",1957,37.464,1392284,1190.844328,1.392284,1657993504.36515
"Central African Republic","Africa",1962,39.475,1523478,1193.068753,1.523478,1817613997.68293
"Central African Republic","Africa",1967,41.478,1733638,1136.056615,1.733638,1969510917.91537
"Central African Republic","Africa",1972,43.457,1927260,1070.013275,1.92726,2062193784.3765
"Central African Republic","Africa",1977,46.775,2167533,1109.374338,2.167533,2404605486.96815
"Central African Republic","Africa",1982,48.295,2476971,956.7529907,2.476971,2369849412.12717
"Central African Republic","Africa",1987,50.485,2840009,844.8763504,2.840009,2399456439.02315
"Central African Republic","Africa",1992,49.396,3265124,747.9055252,3.265124,2442004280.06313
"Central African Republic","Africa",1997,46.066,3696513,740.5063317,3.696513,2737291281.71136
"Central African Republic","Africa",2002,43.308,4048013,738.6906068,4.048013,2990229179.30429
"Central African Republic","Africa",2007,44.741,4369038,706.016537,4.369038,3084613078.78141
"Chad","Africa",1952,38.092,2682462,1178.665927,2.682462,3161726559.87227
"Chad","Africa",1957,39.881,2894855,1308.495577,2.894855,3787904963.55633
"Chad","Africa",1962,41.716,3150417,1389.817618,3.150417,4378505050.64671
"Chad","Africa",1967,43.601,3495967,1196.810565,3.495967,4184010240.49135
"Chad","Africa",1972,45.569,3899068,1104.103987,3.899068,4304976524.38412
"Chad","Africa",1977,47.383,4388260,1133.98495,4.38826,4976220796.687
"Chad","Africa",1982,49.517,4875118,797.9081006,4.875118,3889896143.58087
"Chad","Africa",1987,51.051,5498955,952.386129,5.498955,5237128465.99519
"Chad","Africa",1992,51.724,6429417,1058.0643,6.429417,6802736597.5131
"Chad","Africa",1997,51.573,7562011,1004.961353,7.562011,7599528805.96088
"Chad","Africa",2002,50.525,8835739,1156.18186,8.835739,10215721151.4945
"Chad","Africa",2007,50.651,10238807,1704.063724,10.238807,17447579585.7373
"Comoros","Africa",1952,40.715,153936,1102.990936,0.153936,169790012.724096
"Comoros","Africa",1957,42.46,170928,1211.148548,0.170928,207019199.012544
"Comoros","Africa",1962,44.467,191689,1406.648278,0.191689,269639001.761542
"Comoros","Africa",1967,46.472,217378,1876.029643,0.217378,407807571.736054
"Comoros","Africa",1972,48.944,250027,1937.577675,0.250027,484446733.347225
"Comoros","Africa",1977,50.939,304739,1172.603047,0.304739,357337879.939733
"Comoros","Africa",1982,52.933,348643,1267.100083,0.348643,441765574.237369
"Comoros","Africa",1987,54.926,395114,1315.980812,0.395114,519962442.552568
"Comoros","Africa",1992,57.939,454429,1246.90737,0.454429,566630869.24173
"Comoros","Africa",1997,60.66,527982,1173.618235,0.527982,619649302.95177
"Comoros","Africa",2002,62.974,614382,1075.811558,0.614382,660959256.627156
"Comoros","Africa",2007,65.152,710960,986.1478792,0.71096,701111696.196032
"Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257,14.100005,11005650695.0816
"Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303,15.577932,14111429069.1177
"Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335,17.486434,15673346681.9319
"Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424,19.941073,17181093743.0051
"Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685,23.007669,20819549223.4493
"Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282,26.48087,21072345136.1953
"Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181,30.646495,20648009138.6626
"Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812,35.481645,23871157044.3257
"Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807,41.672143,19074139151.9732
"Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423,47.798986,14922290060.3391
"Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765,55.379852,13355730548.0203
"Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587,64.606759,17931726045.033
"Congo, Rep.","Africa",1952,42.111,854885,2125.621418,0.854885,1817161865.92693
"Congo, Rep.","Africa",1957,45.053,940458,2315.056572,0.940458,2177213473.58998
"Congo, Rep.","Africa",1962,48.435,1047924,2464.783157,1.047924,2582905425.01607
"Congo, Rep.","Africa",1967,52.04,1179760,2677.939642,1.17976,3159326072.04592
"Congo, Rep.","Africa",1972,54.907,1340458,3213.152683,1.340458,4307096219.14881
"Congo, Rep.","Africa",1977,55.625,1536769,3259.178978,1.536769,5008605218.84208
"Congo, Rep.","Africa",1982,56.695,1774735,4879.507522,1.774735,8659832782.05667
"Congo, Rep.","Africa",1987,57.47,2064095,4201.194937,2.064095,8671665463.48701
"Congo, Rep.","Africa",1992,56.433,2409073,4016.239529,2.409073,9675414210.84662
"Congo, Rep.","Africa",1997,52.962,2800947,3484.164376,2.800947,9758959756.46407
"Congo, Rep.","Africa",2002,52.97,3328795,3484.06197,3.328795,11597728065.4262
"Congo, Rep.","Africa",2007,55.322,3800610,3632.557798,3.80061,13805935492.6568
"Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732,2.977019,4133872900.46391
"Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925,3.3,4952956552.5
"Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428,3.832408,6625733026.82262
"Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473,4.74487,9736712727.82351
"Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111,6.071696,14439714172.8543
"Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547,7.459574,18781242084.851
"Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169,9.025951,23491934452.5957
"Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069,10.761098,23211215640.2038
"Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791,12.772596,21050180710.6314
"Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407,14.625967,26125858896.0236
"Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823,16.252726,26797508004.7935
"Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112,18.013409,27826215570.2518
"Djibouti","Africa",1952,34.812,63149,2669.529475,0.063149,168578116.816775
"Djibouti","Africa",1957,37.328,71851,2864.969076,0.071851,205850893.079676
"Djibouti","Africa",1962,39.693,89898,3020.989263,0.089898,271580892.765174
"Djibouti","Africa",1967,42.074,127617,3020.050513,0.127617,385409786.317521
"Djibouti","Africa",1972,44.366,178848,3694.212352,0.178848,660702490.730496
"Djibouti","Africa",1977,46.519,228694,3081.761022,0.228694,704780255.165268
"Djibouti","Africa",1982,48.812,305991,2879.468067,0.305991,881091313.289397
